,La,Ce,Pb,Nd,Sr,Ti,Yb,K,Na,Na_new
52,0.004092708963110613,0.3842287221494402,0.0058710670617062154,5.5460292877506205,6.366012774808891,0.5584554806821003,1.2078468956388388,0.004499338120573568,0.2926675663638366,0.7739423450140609
53,0.003945384891932254,0.3746752934310575,0.005725089373309874,5.4823492887108145,6.208195589769752,0.5548142095205009,1.206028804986207,0.004366581785627819,0.28881077973949526,0.7794227168333046
54,0.0037848849033252506,0.3643724253050216,0.005567660148973164,5.414603860109026,6.038587316494399,0.550918878551887,1.2041281415884115,0.004223300296376385,0.2846981234456323,0.7853457593772922
55,0.0036278018196434403,0.35416300104344495,0.005411658759577254,5.345753973061878,5.869861406267041,0.5469002941493081,1.2020606132213294,0.004081785243939335,0.2805141445551007,0.7910752885909881
56,0.0034751847342683224,0.34415905942447816,0.005258797172869781,5.278566212307595,5.705376454578312,0.5429736948655097,1.2000933171757178,0.003943995241667493,0.2764426019868159,0.7972895541676494
57,0.0033118568270289264,0.3335399699715137,0.005096536043707337,5.207728224103196,5.531278088504739,0.5386608908358403,1.1977993261740838,0.003797847585079748,0.27209922916619383,0.8038028934549206
58,0.0031591651828471175,0.3235494150307814,0.0049438790072615126,5.142117926257853,5.369094817119001,0.5345079675310429,1.1955282511775862,0.003661636216879937,0.2680451836718124,0.8113946802041268
59,0.0030011679777906274,0.3130436907488155,0.004783350113309571,5.0708766587588885,5.197151471854429,0.5300779762432881,1.1930896922052852,0.0035184604565769236,0.2636785484708932,0.8181156819047921
60,0.0028448151940342527,0.30252452828191906,0.004622615882066672,4.9991672194367665,5.024940941770226,0.5255971078981146,1.1907453089681237,0.0033757167467999365,0.2592684897591072,0.8250184706058886
61,0.002689070751326185,0.2917860521746638,0.00445853050861116,4.922737883362334,4.847831265324315,0.5209021924487818,1.1881181304099095,0.0032305640744111496,0.25463577896134315,0.8316168882105024
62,0.0025472600096328128,0.2817951636063128,0.004305868374290007,4.850357187556054,4.683352859682646,0.516383640427686,1.1854824297244864,0.0030968071205421653,0.2502577069191001,0.8382094129643605
63,0.0024060414278942654,0.2717460490738997,0.004152316539329536,4.77752521312436,4.518161711772671,0.5117865340230864,1.182909105825677,0.0029629346076685986,0.24583073430997027,0.8455405484456013
64,0.0022628316376916064,0.2613459097341517,0.003993400997635593,4.699692866261134,4.34607913304346,0.5069263655227324,1.1801748557044736,0.002824837260343199,0.24112969740491746,0.8519722875879724
65,0.002132171131481092,0.2516085536243358,0.003844612873716505,4.6249274579385435,4.1847372333024335,0.5022337065131758,1.1775249436911677,0.0026967005306248073,0.23662665894049617,0.8589523531568055
66,0.002004718064624824,0.24191746427255803,0.0036965317121443477,4.548959039595719,4.024106822034831,0.49746143952342947,1.1747294966150448,0.0025700803986956388,0.2320828828151575,0.8652827558487649
67,0.0018725759719208873,0.23171622618121912,0.003540655408541546,4.467473437578595,3.8546828825796218,0.49232168862233283,1.1716448029805477,0.002437399933083983,0.22722288205616198,0.8706805865881148
68,0.0017358377454171439,0.2209975985360175,0.003376873322282099,4.380951589728474,3.676634178022979,0.4868142928907718,1.1683861895121137,0.002298797973910195,0.2220530023726664,0.8764916376585161
69,0.00160243568298837,0.21038961685265847,0.0032147819213479197,4.295307565303851,3.501362714964697,0.4811180472039318,1.1648573063043737,0.00216294491194398,0.2168870868334002,0.8834284269671491
70,0.0014841136039972704,0.20046788005963262,0.003063176435546167,4.208697477311244,3.334762406849772,0.4756601103559793,1.161685810604373,0.002036972327957861,0.21176675072004109,0.8884974861946825
71,0.0013777246572319309,0.19137739800127246,0.0029242726349939744,4.129523335829493,3.183642775732758,0.47044604110173266,1.1584574016352365,0.001923203475442073,0.2070639674079364,0.894614666866279
72,0.001264651764110351,0.18138934407134508,0.002771653814332946,4.037904359450533,3.015679006244972,0.46464543038853634,1.154974761236254,0.0017987299294752168,0.201703951529244,0.8987848861562714
73,0.0011614264367730612,0.1721098619921841,0.002629862067792285,3.9528124819005055,2.8608841766051323,0.4589267008345518,1.1513570053649458,0.0016846397907354157,0.19665761445912147,0.9051047311730146
74,0.0010752452576596237,0.16388298975406568,0.002504154342591834,3.8708180096955167,2.7215841805849066,0.4537225797829736,1.1482613939335429,0.0015847068875726276,0.19190757538388975,0.90884511513782
75,0.0010008160562141998,0.15664407404190378,0.0023935427272956424,3.7989639095589287,2.6004032430752897,0.4489124480985856,1.1452612359015888,0.0014981787310953643,0.18770636983578198,0.9151906585079295
76,0.0009362197057350085,0.15014822907022712,0.002294285333840481,3.7321992827472363,2.4914611990898385,0.4444093095669632,1.1424405432300568,0.001421465879708455,0.1838136792084025,0.9207860852787243
77,0.000882323773708539,0.14452142516078628,0.0022083070058524206,3.672255444735075,2.3970298366265133,0.44036826127356204,1.1399239069645164,0.0013559461091626696,0.18034195997633987,0.9265079076349153
78,0.0008337017017030422,0.13931497530321504,0.0021287517448708563,3.6155535705128083,2.309610155793839,0.43653080639740227,1.1376247396669927,0.0012959162566750285,0.17705884575356645,0.9319341970979861
79,0.0007866708161951999,0.13420890853996306,0.0020507303512048674,3.559493044595418,2.2241565615801604,0.4326714256120558,1.135247421629291,0.0012375099136685253,0.17381250640823226,0.9381185777866563
80,0.0007422904929051301,0.12928419743844521,0.001975480096682523,3.5039358072919065,2.1416450733363708,0.42880947352380416,1.1327419053290648,0.0011816325889679104,0.1706090944875405,0.9440788848352927
81,0.0006986338759704055,0.12438295548974655,0.001900588454002917,3.448632018190612,2.059888185772124,0.4249066060944121,1.1302062291443498,0.0011264414755964938,0.16741604148331093,0.9501528920037352
82,0.0006541432800322951,0.11926225313334522,0.0018223434264857488,3.3883089851140906,1.9735068537580467,0.4207553432092506,1.1276511855299576,0.0010688982531292398,0.16395491006045695,0.9557067381528163
83,0.0006164098964723875,0.11478522834038031,0.0017539338795643832,3.3341743924992158,1.8982659123340369,0.4169481756795557,1.1251638549791745,0.0010193380831326631,0.16085941226868303,0.9616098041375163
84,0.0005823156309613713,0.11064247181328392,0.0016906319971469511,3.2832290361015413,1.8287656836704855,0.4133389271720105,1.1228645301142983,0.0009739709709742898,0.1579479070225881,0.9681477385710121
85,0.0005502201787598706,0.10664952825745527,0.001629619277278602,3.232693426945895,1.761546104866453,0.40976716088369336,1.12063394403991,0.0009305579700052499,0.15506786203215914,0.9734873538153599
86,0.0005201926735030872,0.10285989689283893,0.0015717131953065359,3.1845372616546546,1.698177643180333,0.4062677802437365,1.1183182227790631,0.0008897943485059627,0.1523218405789493,0.9785687573561251
87,0.00048787427908107575,0.09876529091483788,0.0015091470598192535,3.1325260451733232,1.6297896784454868,0.4024431896560933,1.1157640859622564,0.0008458511628174305,0.14934974626106048,0.9830855343224981
88,0.00045715244250185493,0.09470828248083961,0.0014471554199109607,3.0770107738060664,1.5609551433424083,0.3985295966192231,1.1131308664467294,0.0008025346209176151,0.1462379411492316,0.9860640131238162
89,0.00043099065056708986,0.0911881466981102,0.001393367267033941,3.029227152126781,1.5019672846350858,0.3950155442496614,1.1107804388679077,0.0007655816335669514,0.14353597170878224,0.9908493286229073
90,0.0004044956219849685,0.08756742549115457,0.001338042155212887,2.9790087783971164,1.4412012908756286,0.3913007128682173,1.1081677315664125,0.0007277682943187214,0.14070959908895758,0.9950395297247241
91,0.00038091796735782355,0.08423847655433024,0.00128717536330895,2.9310104271534616,1.3850827057973631,0.38776944549617304,1.1057594123190169,0.0006933571099955309,0.13801859041758896,0.9996836498290648
92,0.00035857669652478207,0.0810394359073343,0.0012382935877181802,2.884905834119098,1.3315594979584024,0.3842990284875571,1.1033205605027254,0.0006606485094580946,0.13543273548732898,1.0040360324804876
93,0.0003357586578228328,0.07770744994716851,0.0011873803896850865,2.8353054033573684,1.2753905796873013,0.3806037712064025,1.1007845193264714,0.0006266748346679472,0.1326594922133874,1.008378802197421
94,0.00031460294435760013,0.0745322566185248,0.0011388630043577634,2.786735318331651,1.221767514571403,0.3770069523268106,1.0984301501034974,0.0005946153987861145,0.1299532423058342,1.0117483955249211
95,0.00029488502793966576,0.07151361306896484,0.0010927377209179678,2.7397404781261163,1.171008360196225,0.37343100124158907,1.0958715205769003,0.0005644851700381709,0.12733995429507108,1.0158196936955795
