,Ce,K,La,Na,Nd,Pb,Sr,Ti,Yb,Na_new
157,0.006170556378744172,2.4205886089791486e-05,6.704269577121305e-06,0.037687562874571555,1.007378491622567,9.428693957334068e-05,0.08782382391081088,0.22164452202853127,1.018434315407556,0.8539900946429132
158,0.005773358418435193,2.2106897557243855e-05,6.057250711618041e-06,0.03644779475333296,0.9793916808436666,8.821770079103028e-05,0.08144685237308902,0.2189463172012289,1.0170801057134875,0.8385979993005307
159,0.005439138290949555,2.039814600092151e-05,5.503682490919887e-06,0.0354495918660092,0.9578826666404193,8.31107718481258e-05,0.07633170336476304,0.21642928637853034,1.0152009940323403,0.830878737167037
160,0.005082990208368137,1.8594604197461314e-05,4.9616296384644496e-06,0.034269666494793384,0.9310255172336669,7.766878077302772e-05,0.07069020496900359,0.21375850089569753,1.013808675306735,0.8156024084285223
161,0.004777991972150884,1.709882803868025e-05,4.491928522927671e-06,0.03329601778905384,0.9097810744664323,7.300836629772162e-05,0.06606716185438244,0.21123476756133586,1.0119242534817738,0.8063496534109258
162,0.004457520042502677,1.5545577595397876e-05,4.037063579832993e-06,0.03216678756347275,0.8838649732948546,6.811151168510049e-05,0.061060084486922274,0.20857453706127946,1.010485494232086,0.7904488247285184
163,0.004178080930766433,1.4233398678220929e-05,3.6378147595598337e-06,0.031212589162834526,0.8627748083901793,6.384164410339216e-05,0.056869097231609385,0.2060292160420099,1.0085824611616985,0.7802853155172046
164,0.003904631418182353,1.2967604729950505e-05,3.270706179546945e-06,0.030203644833437956,0.8401080088163362,5.966329841025679e-05,0.05269149018423621,0.20351821249730404,1.0076026485326666,0.7677734683562969
165,0.00366886620340446,1.1912708202963938e-05,2.9592093710075286e-06,0.02934508270611255,0.8209662688900119,5.606077390601054e-05,0.04920877377810907,0.2011229920371792,1.0057150411044113,0.7585888887980132
166,0.0034162670126418318,1.07947716211346e-05,2.6520418041546684e-06,0.028326326026629108,0.7970312545765764,5.220102396226919e-05,0.045354535591482344,0.19855992810871378,1.0043084675197644,0.7425812637484279
167,0.0031974128568230363,9.853202132559565e-06,2.3852928173024394e-06,0.027455859389339324,0.7776629754812217,4.885690273583598e-05,0.04211995451028119,0.1962086753136085,1.0035307372265125,0.731883075359254
168,0.002972152095856161,8.900541718677894e-06,2.132181714453244e-06,0.026471178156854416,0.7546024618045549,4.541488771257302e-05,0.038710669557798866,0.19375644701395686,1.0032241531750536,0.7155067837552712
169,0.0027791758055747506,8.112302272162725e-06,1.9150274018724736e-06,0.02564727257027673,0.7360019913515515,4.24661837863715e-05,0.03590708724614007,0.19144334504838809,1.002469497153524,0.7046551189988248
170,0.0025951732249765206,7.378575603182617e-06,1.7166437946565836e-06,0.024833944672692485,0.7173403950608961,3.965459936296899e-05,0.03325038513975459,0.1890981788696582,1.0013724452311068,0.6935774170487645
171,0.0024238084844922184,6.71114358908631e-06,1.5411979109841354e-06,0.024036034055738564,0.698774257973955,3.703612285302209e-05,0.030774151839186442,0.18681600515401559,1.000507895992359,0.6816836139349463
172,0.0022652466394910958,6.1092659732115814e-06,1.3844415834233596e-06,0.02327817118078295,0.681207476153914,3.4613276324991347e-05,0.02850772610815936,0.18460995863815788,0.9999009201812827,0.6696527687079358
173,0.002119865580092161,5.57218077905999e-06,1.244264374960229e-06,0.02257548721792899,0.6649890593342416,3.2391833991221544e-05,0.02646951812369626,0.1824123691032115,0.9987407671546388,0.6601884860736417
174,0.0019819701805468552,5.073624481407441e-06,1.1179750239792212e-06,0.021875117696312295,0.6486324287299475,3.0284773556743177e-05,0.024530322263616674,0.1802749963268473,0.9980612287093775,0.6489953791197747
175,0.0018463912924449378,4.594083452244293e-06,9.984029455231005e-07,0.02116432559353271,0.6319013199264973,2.8213109731756324e-05,0.022634487202345146,0.17806939331335309,0.9973172794925854,0.637171987880581
176,0.0017052678685059587,4.104675642113322e-06,8.832672058985768e-07,0.02035389325067164,0.6119086686756212,2.6056724646101285e-05,0.020621687192154247,0.17572696537293203,0.997012264398291,0.6206415633654679
177,0.001589360718731588,3.719546563990353e-06,7.871028533316503e-07,0.019724563016128384,0.5971797991447751,2.428564765464231e-05,0.019065207019708066,0.17352326600194423,0.9955243643573967,0.6115421702277104
178,0.0014699724696296498,3.3296615257028266e-06,6.959161806952005e-07,0.019009850516512376,0.5796342275445368,2.2461378992643255e-05,0.017419638916338177,0.17123962371217796,0.9947094909453514,0.5977297215073244
