,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,Orthopyroxene,X
10,39.5666288645227,1.8820086211752,7.5168908279085,1.43074559008505,15.2539163381353,23.430594614888,6.79094774149346,4.12826740179168,1497.9494424918848,1526.2999999999915,0.007729075561883218,0.014406693380415175,2880.0,15.3287015486144,11.440788578163,0.656255316265822,51.9610802538769,18.1831743030799,0.006725994837202234
11,39.4896777673475,1.88826019219449,7.58663622095707,1.47735016415827,15.2524340230546,23.4987290008202,6.94128402687187,3.86562860459598,1496.6220125573234,1527.5999999999985,0.009457947727040509,0.01603822747130143,2860.0,15.1889380094161,11.380465134133,0.648502338756489,51.8159509258449,18.3661435918496,0.006658134894830477
12,39.407179905563,1.89232974111063,7.6490082472904,1.52474516231144,15.2729922171829,23.5639216649668,7.09947978176808,3.59034327980686,1495.2819790430444,1528.9999999999955,0.010983423166886998,0.017695546465533264,2840.0,15.0367125224788,11.3179844416872,0.655736045342289,51.6588340551164,18.5807329353753,0.006742787098635364
13,39.33107296279,1.89865704476689,7.71737273571724,1.57263416752526,15.2683226353721,23.6242854972155,7.25591838602228,3.33173657059071,1493.9302405967323,1530.2999999999934,0.012712295332045011,0.019376819283741204,2820.0,14.8936863930296,11.2567952140715,0.648901810128492,51.5127129230633,18.7679036597071,0.006684196643268356
14,39.250502921025,1.90058787715682,7.77724004996469,1.6202702473427,15.2858209513589,23.6857897630519,7.4253546075975,3.05443358250251,1492.5675577203742,1531.799999999991,0.014237770771891355,0.021080495890079695,2800.0,14.7257336335214,11.1921411030287,0.670517301876502,51.3460188460305,18.9955891155428,0.006917541544171079
15,39.1763381745871,1.90670941313804,7.84454206445077,1.66870842615183,15.2770922594614,23.737421402665,7.58831229404689,2.80087596549889,1491.1945812336537,1533.0999999999972,0.01596664293704908,0.022805249251497912,2780.0,14.5778926241833,11.1298505382553,0.666148405554546,51.1981555045222,19.1879529274846,0.0068845432570746835
16,39.103000117297,1.91285688051961,7.91129571285852,1.71751132109765,15.2664450783534,23.7846284220826,7.75460938245831,2.54965308533287,1489.8118735041376,1534.399999999995,0.01769551510220695,0.02454993204954795,2760.0,14.4277910806725,11.0671577724166,0.662509302711574,51.0496352797534,19.3829065644459,0.006858984394984721
17,39.1355890687354,1.89861647012129,8.05145485377372,1.70687562641815,15.1495825968735,23.7095671803595,7.79977150007308,2.54854270364536,1488.4199245934585,1533.1999999999944,0.01932268890470812,0.02631354375991861,2740.0,14.4062140734601,10.9661959768103,0.681227858101034,50.9722135282325,19.4041485633961,0.007064480536150926
18,39.062548137982,1.90840697710683,8.12008056133217,1.75536435169099,15.1430817983444,23.7363098353281,7.95628824486116,2.31792009335429,1487.0191647470729,1534.1999999999925,0.021458354520492797,0.028095205187247327,2720.0,14.2126449399138,10.8604784020897,0.651706731186821,50.8026431688964,19.6925267579132,0.006773090118341525
19,39.0959079898178,1.89485259158982,8.26219442776953,1.74450645903569,15.0255518282613,23.6567759352652,7.9995900326245,2.32062073563618,1485.6099742009462,1532.8999999999928,0.023085528322994396,0.029894138469710868,2700.0,14.1989736276254,10.7587778555344,0.663006624818441,50.730175309767,19.7090665822547,0.006902005255240905
