,SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,T_pyMelt,T_MELTS,F_MELTS,F_pyMelt,P,Augite,Garnet,Liquid,Olivine,Orthopyroxene,X,Spinel
84,39.1782575692044,2.19233035472862,6.67409082614141,2.09776322053367,13.4827920888485,26.232223273397,7.78233116813617,2.3602114990102,1535.5318354765288,1561.0999999999945,0.113291975999186,0.12029411025662733,3020.0,8.16689576157298,11.0683541526518,0.614981340018245,44.2627129427425,23.0770558030145,0.0070533471730501755,
85,39.1987906272974,2.17885747629986,6.80196233909624,2.0870871653529,13.3949773635897,26.1534214765719,7.82145836268836,2.36344518910355,1534.0654011565957,1559.9999999999936,0.1149191498016879,0.12208403995310285,3000.0,8.14485125734548,10.9800362458362,0.624483953706937,44.1777791880543,23.1028493550571,0.007175502168297563,
86,39.2272312460215,2.16274413148201,6.9350876316784,2.07414450004146,13.2829605136699,26.0854032198411,7.86701025435627,2.36541850290947,1532.5954142373143,1558.9999999999936,0.11664802196684619,0.12388119206533758,2980.0,8.11427773730484,10.8870718210255,0.637476297712263,44.0677786555577,23.1533954883997,0.007339123851165819,
87,39.2536787267864,2.15418853918078,7.07424203492173,2.06490245308262,13.166756850685,25.9991977795699,7.89329732327934,2.39373629249412,1531.121875804129,1557.599999999993,0.11858029085731617,0.12568555004618595,2960.0,8.03105376398616,10.7992436751123,0.624488289094132,43.9728211514178,23.2423931203897,0.007205356975817831,
88,39.2813971611878,2.14477859191553,7.21459411407909,2.05509197055239,13.0500203463928,25.912583750536,7.92071177984009,2.42082228549622,1529.6447866950418,1556.1999999999935,0.12051255974778774,0.12749709727522157,2940.0,7.94511037731427,10.7108584356586,0.614336610354944,43.8759855306464,23.3337090460258,0.007103799842217205,
89,39.3043823660898,2.13107377655387,7.34733698119157,2.04407564682486,12.9607229508309,25.8279602447163,7.95942109885693,2.42502693493578,1528.164147504136,1554.9999999999927,0.12213973355028948,0.12931581703232028,2920.0,7.92508041707905,10.6203205120828,0.622056986456567,43.7925037652902,23.3600383190914,0.007206406237912035,
90,39.3302501100563,2.11687962663806,7.48278615933048,2.03131501287685,12.8702132453631,25.7379726858739,7.99429380280705,2.43628935705436,1526.6799585846877,1553.699999999993,0.12386860571544822,0.1311416924714544,2900.0,7.81624728380942,10.5288752057082,0.634343047387038,43.6800711671009,23.4904632959944,0.007363239087487385,
91,39.3612626743856,2.10639650193832,7.62679645706001,2.01938813291911,12.7558940496582,25.6441250811517,8.02020323381145,2.46593386907555,1525.1922200518768,1552.1999999999925,0.12590257296857504,0.1329747065944408,2880.0,7.7580315454197,10.3934130716677,0.616276168100002,43.5887201181254,23.5935590966872,0.00717017065852242,
92,39.3867765619326,2.09101286930539,7.76195699363402,2.00748019538336,12.6660372686704,25.5587261376336,8.06251166974422,2.46549830369638,1523.7009317851102,1550.9999999999927,0.12752974677107679,0.13481484222479764,2860.0,7.73157366872425,10.3005285912621,0.630589811277653,43.5013179075212,23.6259900212148,0.0073503882885843684,
93,39.4200752459847,2.07911373056618,7.90786199001428,1.99470615866153,12.5510455276751,25.4641957660117,8.09078821867291,2.49221336241355,1522.206093429967,1549.4999999999923,0.12956371402420433,0.13666208198146895,2840.0,7.66849816763173,10.163593812496,0.617526819743352,43.4067687152385,23.7336124848904,0.0072149412284537,
94,39.448896503489,2.06628822015239,8.04936054444885,1.98215141015601,12.4580953105175,25.3637797456408,8.11998360410798,2.51144466148742,1520.7077043997747,1547.9999999999927,0.13129258618936349,0.1385164082524988,2820.0,7.57136016990786,10.0704980231456,0.618811467393622,43.3015325094034,23.8577978301494,0.007244339351365288,
95,39.4774971406621,2.05331335981243,8.19090343920394,1.96984091263331,12.3673658785828,25.2626674926585,8.15031050778843,2.52810126865851,1519.2057638768244,1546.4999999999923,0.13322485507983375,0.14037780316847015,2800.0,7.49986574372258,9.93546281253003,0.619335138330134,43.2214066644817,23.9539296409355,0.0072666330908146715,
96,39.5069631635127,2.04146651854805,8.33469117812716,1.95779992252664,12.2754645869131,25.1566482121985,8.17655479638714,2.55041162178675,1517.700270813231,1544.8999999999928,0.13515712397030372,0.1422462485758106,2780.0,7.43601934650578,9.80053168302802,0.612393749461114,43.145908828874,24.0451463921311,0.007201243526118461,
97,39.5396981026625,2.02751890658568,8.4793544994478,1.94305176879228,12.1847856380459,25.0492648712182,8.20419186521183,2.57213434803582,1516.1912239314443,1543.2999999999925,0.1369876944981183,0.14412172600971426,2760.0,7.36667780110708,9.65994295452501,0.606090332300732,43.0458494149823,24.1814394970849,0.007142238184076501,
98,39.5708823901023,2.00987514870808,8.61927213788883,1.92858039958644,12.0973760993695,24.9564228288102,8.24886393210627,2.56872706342839,1514.6786217244144,1541.9999999999927,0.13871656666327703,0.1460042166668326,2740.0,7.36246400658885,9.51667190590954,0.61834483065257,42.9606983666839,24.2318208901651,0.007301273239491915,
99,39.466165797411,2.01793054071584,8.65918550144189,1.99237964657013,12.1361824027521,25.023082813894,8.46647636028433,2.23859693693079,1513.1624624554158,1543.9999999999982,0.14075053391640327,0.14789370137752172,2720.0,7.12125899027096,9.41108784342034,0.61029087720265,42.8031443538988,24.5442179352073,0.007223232065364535,
100,39.4999505153165,2.00260313016097,8.80434821761033,1.97692968255521,12.0463792207645,24.9164173336243,8.49855915979074,2.25481274017745,1511.6427441575318,1542.3999999999987,0.1425811044442177,0.14979016057762115,2700.0,7.04942338298855,9.26779285518015,0.608141470198556,42.7006286045083,24.6840136871245,0.007213159414050001,
101,39.5353061747214,1.98488398892302,8.94858246853526,1.9602691125097,11.9571384256397,24.8139842885942,8.53741129277906,2.26242424829774,1510.1194646327986,1540.8999999999983,0.14441167497203256,0.1516935742797799,2680.0,6.96495019904164,9.12209807563167,0.619178413036518,42.5905045989533,24.8332687133369,0.0073597814458162105,
102,39.568949521041,1.97153253654616,9.09632880365698,1.94722664893822,11.8646213330438,24.7035218518236,8.56640265309047,2.28141665185985,1508.592621451012,1539.199999999999,0.1463439438625034,0.15360392204420031,2660.0,6.90152913176698,8.98298906812801,0.61374632663094,42.5141511886005,24.9275842848736,0.007311726550285201,
103,39.6038635358045,1.95752465330993,9.2446638890167,1.93376554416419,11.7718747361519,24.5928418627925,8.59668751595986,2.29877826280047,1507.0622119481952,1537.4999999999986,0.14827621275297512,0.15552118294873557,2640.0,6.83555726110147,8.84288483472594,0.61106117189203,42.4362307526792,25.0242659796013,0.0072962527987108115,
104,39.6400023400944,1.94289614182378,9.39352974441785,1.91992457649963,11.6789507912033,24.4819613275703,8.6282857208,2.31444935759073,1505.5282332247223,1535.7999999999902,0.1502084816434461,0.15744533555833948,2620.0,6.76710368738527,8.70173833411419,0.611067261288975,42.3568122312958,25.1232784859157,0.0073129160039369975,
105,39.6773363981879,1.9292534210621,9.54460313049873,1.90636123239371,11.5848466139684,24.3663668580721,8.65565820655256,2.33557413926453,1503.9906821431005,1533.99999999999,0.15214075053391507,0.15937635789377144,2600.0,6.70608994791149,8.56098833293116,0.603574211892361,42.2816491195378,25.2176983877273,0.007239705072476433,
106,39.7179886883364,1.91051543640798,9.69275780400228,1.88893126023986,11.4941399341018,24.258503950288,8.69571869362053,2.34144423300321,1502.449555325402,1532.3999999999987,0.15397132106173136,0.16131422739942355,2580.0,6.62058560460698,8.41082144070132,0.616968091332936,42.1707045609324,25.3709203024263,0.007416373257998995,
107,39.7577468248547,1.89571143507007,9.84469814895716,1.87469758468565,11.3998011880903,24.1425647172945,8.7257786517034,2.35900144934422,1500.9048491503438,1530.5999999999904,0.15590358995220222,0.16325892091038977,2560.0,6.55481028318531,8.26777647701378,0.614788796486746,42.0926714069237,25.4699530363904,0.007407093933575258,
108,39.7987337599818,1.88032838777044,9.99703105668667,1.86013222870589,11.3053710851107,24.0264708113377,8.75719457519757,2.37473809520929,1499.356559750008,1528.7999999999902,0.15783585884267276,0.1652104146184804,2540.0,6.48660335321951,8.12357319731495,0.615302969528822,42.0131991652553,25.5713213146814,0.007430297905190462,
109,39.8408982380918,1.86440124569251,10.149695696244,1.84527161317714,11.2109030028957,23.9102456600616,8.78998865096733,2.38859589286998,1497.804683006196,1526.999999999991,0.1597681277331433,0.16716868403730242,2520.0,6.41604215030972,7.97815994150241,0.618462332870481,41.9323555539143,25.6749800214031,0.007485624943966122,
110,39.8846780698937,1.84930414557607,10.3046049846708,1.83054574845244,11.1151126001207,23.789290155465,8.81850902626154,2.40795526955977,1496.2492145464091,1525.0999999999908,0.16170039662361416,0.16913370396616614,2500.0,6.35252054191449,7.83319676177158,0.61449756290423,41.8554124070783,25.7743727263314,0.007454780576297827,
111,39.929134125988,1.83234682471193,10.457796678189,1.81515700219436,11.0206723684142,23.6728592160653,8.85410498269166,2.41792880174564,1494.6901497394463,1523.2999999999915,0.16363266551408556,0.1711054484529142,2480.0,6.27737908618639,7.68524896768149,0.622894131456674,41.7719307085747,25.8825471061007,0.0075741017930043095,
112,39.8131576127628,1.83635804797437,10.4837110460906,1.87665463628259,11.0721227673455,23.7486506615,9.10898592864638,2.06035929939772,1493.1274836906086,1525.399999999997,0.16566663276721283,0.17308389075546213,2460.0,6.04621997843352,7.56808593790243,0.619330285062301,41.6119780829712,26.1943857156305,0.007549125854001724,
113,39.8580602323137,1.81997957151916,10.6379400121656,1.86117855624007,10.9776281857056,23.6288666734652,9.14281066344445,2.07353610514615,1491.5612112364995,1523.4999999999977,0.16759890165768193,0.17506900330197625,2440.0,5.97986504315938,7.41953599295871,0.620575123739235,41.532431739866,26.2975921002768,0.007581858567369994,
114,39.9042573265826,1.80304801568907,10.7923677258761,1.84533859087706,10.883091092698,23.5089570873466,9.17813906072352,2.08480110020713,1489.9913269394076,1521.5999999999976,0.1695311705481541,0.1770607576496916,2420.0,5.91100643221619,7.26952997369499,0.624817744578023,41.451449565278,26.4031962842328,0.00765145413394591,
115,39.9499012290327,1.78971630099342,10.9507455386583,1.83274974508487,10.7850211385373,23.381399512963,9.20298142720782,2.10748510752257,1488.4178250812597,1519.4999999999977,0.17156513780128146,0.17905912444216796,2400.0,5.86099319134024,7.12820211950803,0.61295126590042,41.4027092829976,26.4551441402537,0.007524567467473855,
116,39.9986723390539,1.77169747195851,11.1054686944428,1.81621043167425,10.6904856803275,23.261293031128,9.24134191598153,2.11483043543347,1486.8406996571284,1517.5999999999985,0.17349740669175145,0.18106407336498048,2380.0,5.78712898095884,6.97526798090258,0.623180970306256,41.3189014917663,26.5655205760661,0.00766803211894002,
